Age,Gender,Education,Income,Debt,Credit_Score,Loan_Amount,Loan_Term,Num_Credit_Cards,Payment_History,Employment_Status,Residence_Type,Marital_Status,Creditworthiness
68,Male,High School,33763,32108,829,6935,36,6,Bad,Unemployed,Rented,Single,1
24,Male,Master,71955,19824,799,29128,12,2,Good,Unemployed,Rented,Married,1
20,Male,High School,64863,6760,532,48552,36,1,Average,Self-Employed,Owned,Divorced,1
64,Female,High School,37408,19166,695,1257,48,3,Good,Unemployed,Owned,Married,1
40,Male,Bachelor,45176,48133,606,40170,24,3,Good,Self-Employed,Owned,Single,1
63,Male,PhD,55097,47662,809,6036,36,7,Bad,Unemployed,Rented,Single,1
60,Female,High School,71850,32891,723,14771,60,7,Bad,Unemployed,Owned,Married,1
64,Male,Bachelor,73846,26180,449,31257,36,6,Good,Employed,Mortgaged,Married,1
62,Male,High School,134177,40194,691,6072,36,4,Good,Self-Employed,Owned,Married,1
35,Male,High School,55794,17088,789,26306,48,8,Average,Employed,Owned,Married,0
55,Male,High School,83324,13525,346,28049,24,2,Bad,Self-Employed,Owned,Divorced,1
52,Female,PhD,109767,41674,611,28334,48,7,Good,Employed,Owned,Single,1
68,Female,Master,78486,9922,438,27088,48,1,Bad,Unemployed,Mortgaged,Divorced,1
32,Male,PhD,21011,15282,704,45135,60,8,Bad,Self-Employed,Mortgaged,Divorced,1
42,Male,Bachelor,43427,35846,313,5625,48,5,Good,Self-Employed,Rented,Divorced,1
54,Female,Master,58392,18361,818,48760,48,6,Bad,Self-Employed,Owned,Divorced,1
45,Male,Bachelor,143983,30586,484,38361,60,6,Good,Unemployed,Rented,Single,1
27,Female,High School,78990,41561,414,22476,12,1,Good,Unemployed,Mortgaged,Single,1
56,Female,Master,70852,2637,409,30799,48,7,Average,Self-Employed,Rented,Divorced,1
34,Female,Bachelor,35229,14916,580,15348,36,3,Bad,Employed,Owned,Divorced,1
56,Male,High School,98780,31926,842,32001,48,2,Average,Employed,Mortgaged,Single,1
39,Male,Bachelor,102138,43941,385,582,24,7,Bad,Unemployed,Rented,Single,1
43,Male,Bachelor,130084,20684,437,8466,36,9,Average,Unemployed,Owned,Single,1
61,Female,PhD,109998,37772,765,20646,36,4,Good,Employed,Mortgaged,Single,1
42,Male,High School,45302,17966,376,31554,12,7,Bad,Employed,Rented,Divorced,0
34,Male,PhD,43536,49469,436,17542,24,5,Average,Unemployed,Rented,Single,1
30,Female,Master,107746,26035,396,23129,24,7,Good,Employed,Mortgaged,Divorced,1
37,Male,High School,25585,11168,830,14099,24,1,Good,Employed,Owned,Married,0
42,Male,PhD,69130,9475,308,11564,48,9,Bad,Employed,Owned,Divorced,1
21,Male,PhD,132409,28473,382,24024,48,6,Bad,Unemployed,Owned,Single,1
27,Female,Master,81957,36166,346,47757,36,8,Average,Employed,Mortgaged,Divorced,1
20,Male,Bachelor,77210,35006,811,15395,12,9,Good,Self-Employed,Owned,Single,1
58,Female,Bachelor,102731,4466,729,31086,48,1,Good,Unemployed,Owned,Married,1
62,Female,Bachelor,100373,22902,389,30748,48,5,Bad,Self-Employed,Owned,Single,1
35,Female,Master,132697,6363,812,11916,12,7,Good,Self-Employed,Owned,Single,1
64,Male,PhD,25456,36934,713,30114,24,8,Average,Employed,Mortgaged,Single,1
53,Male,High School,142365,34547,812,9385,36,3,Good,Self-Employed,Mortgaged,Single,1
64,Male,Master,139597,3134,376,4827,48,8,Good,Unemployed,Rented,Divorced,1
39,Female,Bachelor,73861,42379,380,20140,12,5,Good,Unemployed,Rented,Single,1
51,Female,Bachelor,57289,27402,501,44987,12,1,Average,Unemployed,Mortgaged,Married,1
64,Male,High School,29775,28714,746,26928,24,4,Bad,Unemployed,Owned,Divorced,1
25,Female,Master,84881,21073,406,29559,60,2,Bad,Employed,Rented,Single,0
57,Male,Bachelor,148410,15583,591,47506,60,5,Good,Unemployed,Rented,Married,1
66,Male,Master,34099,38723,611,11371,60,4,Good,Self-Employed,Owned,Divorced,1
61,Male,PhD,122341,42166,816,1363,60,2,Average,Employed,Rented,Divorced,0
36,Male,Master,61842,24756,725,47203,48,7,Average,Unemployed,Owned,Single,0
59,Male,PhD,132290,20774,714,42678,12,2,Average,Self-Employed,Owned,Married,1
58,Male,High School,77163,24634,434,26125,36,2,Good,Self-Employed,Mortgaged,Divorced,1
54,Male,PhD,102351,32143,818,7861,48,4,Bad,Unemployed,Mortgaged,Single,1
23,Female,PhD,97762,8249,663,48646,60,5,Bad,Unemployed,Mortgaged,Single,0
69,Male,High School,142863,45830,683,29708,36,3,Good,Self-Employed,Rented,Married,1
43,Female,Bachelor,115608,32268,331,5306,36,9,Good,Self-Employed,Owned,Single,1
51,Female,High School,94675,4796,839,5883,60,6,Average,Unemployed,Rented,Married,1
62,Male,Master,115596,19918,786,47094,36,8,Bad,Self-Employed,Rented,Divorced,1
23,Female,High School,64867,19564,664,10186,48,5,Bad,Unemployed,Mortgaged,Divorced,1
54,Female,Master,29859,31712,563,47842,24,8,Good,Employed,Rented,Single,1
50,Female,Bachelor,129478,29786,441,35604,48,6,Good,Employed,Mortgaged,Married,1
39,Male,Master,75700,16312,329,17251,48,7,Good,Unemployed,Owned,Divorced,1
38,Male,High School,22539,26973,429,17295,24,2,Average,Unemployed,Owned,Married,1
23,Male,High School,128609,14207,369,41302,60,6,Bad,Unemployed,Rented,Divorced,1
23,Male,Bachelor,98735,2446,418,17237,60,5,Bad,Self-Employed,Mortgaged,Married,0
65,Male,High School,53158,1951,626,31639,24,8,Good,Self-Employed,Rented,Divorced,1
21,Female,Bachelor,85618,2717,369,18222,48,5,Average,Employed,Mortgaged,Married,1
47,Female,Bachelor,70154,39681,507,17212,12,7,Bad,Unemployed,Owned,Divorced,0
28,Male,High School,77824,12390,390,42953,36,4,Good,Unemployed,Owned,Single,0
47,Female,PhD,127272,22194,419,41423,36,2,Good,Unemployed,Rented,Married,0
48,Female,Master,142084,16477,506,23900,36,3,Good,Self-Employed,Owned,Single,1
41,Female,PhD,32281,18980,705,11521,12,4,Bad,Unemployed,Owned,Divorced,0
26,Female,Bachelor,35120,31950,846,1986,48,3,Average,Self-Employed,Owned,Married,1
20,Male,Master,29946,7594,423,8107,60,7,Average,Employed,Rented,Divorced,1
68,Male,PhD,144128,45693,411,33240,24,5,Good,Unemployed,Rented,Divorced,1
48,Male,High School,144016,20600,506,20619,36,3,Average,Unemployed,Mortgaged,Single,1
57,Female,PhD,96427,10098,685,17621,12,3,Average,Self-Employed,Owned,Single,1
54,Female,Master,105176,12942,446,5867,24,9,Good,Unemployed,Mortgaged,Single,1
53,Male,Master,46111,15012,431,4388,48,9,Bad,Self-Employed,Owned,Divorced,1
41,Male,Master,72396,31702,403,46750,12,5,Average,Unemployed,Mortgaged,Single,0
48,Female,Master,124311,46018,541,40160,12,2,Bad,Employed,Owned,Single,1
23,Male,PhD,53290,49176,630,38111,24,5,Average,Unemployed,Rented,Married,1
19,Male,High School,116140,11346,448,26870,24,4,Good,Self-Employed,Owned,Married,1
37,Female,High School,54462,15428,468,26378,36,6,Bad,Unemployed,Rented,Single,1
45,Female,Master,104172,6755,383,39559,48,6,Bad,Self-Employed,Rented,Single,0
28,Male,High School,24837,46884,819,3168,24,6,Average,Unemployed,Rented,Single,0
21,Female,PhD,31801,7283,406,4738,36,7,Bad,Self-Employed,Owned,Single,1
32,Male,High School,149342,2337,564,4666,36,2,Average,Unemployed,Mortgaged,Divorced,0
23,Female,Bachelor,43710,44455,330,14740,24,4,Bad,Employed,Mortgaged,Divorced,1
66,Female,High School,126773,21857,846,31530,12,9,Average,Unemployed,Rented,Married,0
47,Male,Master,117157,25936,546,1137,12,5,Average,Self-Employed,Mortgaged,Single,1
55,Female,High School,134835,40594,829,21446,12,1,Good,Employed,Owned,Married,1
68,Male,High School,60916,28640,323,3141,36,6,Good,Employed,Mortgaged,Divorced,0
19,Female,High School,33065,39435,797,45445,12,5,Average,Self-Employed,Rented,Single,1
32,Male,High School,82546,46697,603,11638,48,2,Average,Self-Employed,Owned,Single,0
28,Female,Bachelor,65474,17214,697,9462,12,3,Average,Unemployed,Mortgaged,Divorced,1
25,Female,PhD,145465,42532,702,31575,12,3,Good,Employed,Mortgaged,Married,1
43,Male,Master,113766,27531,615,30339,36,7,Good,Self-Employed,Owned,Divorced,1
68,Female,Master,56388,9013,577,6302,60,5,Bad,Unemployed,Mortgaged,Married,1
62,Male,High School,96167,36812,841,8138,48,9,Average,Unemployed,Owned,Single,1
61,Female,PhD,115364,6018,442,48258,36,1,Bad,Self-Employed,Rented,Divorced,0
22,Female,High School,94667,19617,709,36978,48,3,Good,Employed,Owned,Divorced,1
23,Male,Bachelor,99843,28868,655,49709,48,8,Average,Self-Employed,Mortgaged,Divorced,1
43,Female,PhD,23709,41235,823,26729,12,3,Bad,Unemployed,Mortgaged,Single,0
21,Female,PhD,68754,43774,502,20121,48,3,Bad,Self-Employed,Rented,Single,1
36,Male,PhD,132219,32090,549,23400,12,8,Average,Unemployed,Mortgaged,Married,1
37,Female,PhD,106257,37809,402,49733,48,3,Bad,Self-Employed,Mortgaged,Single,1
50,Male,High School,117730,2889,767,6489,60,2,Bad,Self-Employed,Mortgaged,Single,0
37,Male,Bachelor,25094,25060,334,7007,48,3,Good,Employed,Mortgaged,Married,0
66,Male,PhD,29415,11091,623,5665,24,2,Good,Employed,Mortgaged,Divorced,1
29,Female,Master,68846,47283,831,48072,12,8,Bad,Unemployed,Owned,Divorced,1
64,Female,Master,133780,20039,567,4206,60,5,Bad,Employed,Rented,Single,1
18,Male,Bachelor,99066,44289,352,32465,12,3,Average,Self-Employed,Mortgaged,Divorced,1
43,Female,Master,27472,4718,317,31111,60,8,Good,Employed,Mortgaged,Married,1
31,Male,High School,83730,22919,403,4614,12,8,Average,Self-Employed,Owned,Divorced,1
55,Female,High School,56131,43016,451,2817,24,4,Average,Self-Employed,Owned,Single,0
54,Male,Bachelor,104943,10698,713,37940,24,9,Good,Unemployed,Mortgaged,Married,1
28,Male,PhD,103737,48251,383,28878,60,1,Bad,Employed,Rented,Divorced,0
53,Female,Master,47948,35398,607,14823,36,7,Bad,Unemployed,Owned,Divorced,1
30,Male,Master,66908,22444,450,44371,12,5,Average,Self-Employed,Rented,Divorced,0
60,Male,Bachelor,69835,18375,848,25744,36,7,Average,Self-Employed,Mortgaged,Married,1
20,Female,Bachelor,140195,49051,678,15250,48,8,Bad,Unemployed,Mortgaged,Married,1
50,Male,Master,43115,38358,757,47244,24,3,Average,Unemployed,Mortgaged,Married,1
23,Male,PhD,144112,7866,652,4314,12,3,Bad,Unemployed,Mortgaged,Married,1
67,Female,Bachelor,47961,29544,675,20903,24,1,Good,Self-Employed,Owned,Divorced,0
27,Male,High School,143496,42990,507,47619,48,5,Good,Employed,Mortgaged,Single,1
22,Male,Master,67083,5921,759,37983,60,8,Bad,Self-Employed,Mortgaged,Single,1
40,Male,Bachelor,79417,47113,703,39914,12,1,Average,Self-Employed,Mortgaged,Divorced,0
27,Male,Bachelor,72062,42522,829,49022,12,2,Good,Self-Employed,Owned,Divorced,0
61,Male,Bachelor,67182,33759,784,28933,12,2,Bad,Self-Employed,Mortgaged,Married,1
19,Male,Master,147987,23665,421,10591,60,2,Bad,Employed,Mortgaged,Single,1
30,Male,High School,22017,25942,419,30173,24,5,Average,Self-Employed,Rented,Married,1
57,Male,High School,24223,7249,550,19115,60,7,Average,Unemployed,Owned,Married,1
19,Female,Master,81852,1793,598,9132,24,3,Average,Employed,Rented,Divorced,0
37,Male,Bachelor,120488,28679,346,17464,12,1,Good,Unemployed,Rented,Married,1
18,Male,Master,70509,14993,598,33643,60,9,Good,Unemployed,Rented,Divorced,0
54,Female,Master,43075,34754,818,22965,48,9,Good,Self-Employed,Mortgaged,Single,0
26,Male,Bachelor,26531,26533,544,38845,60,4,Bad,Employed,Rented,Single,1
34,Male,Master,24666,4595,517,4301,24,5,Bad,Self-Employed,Owned,Married,1
26,Male,PhD,109317,49295,643,15947,12,4,Bad,Employed,Owned,Married,1
28,Male,High School,64023,48181,613,6989,24,8,Good,Employed,Rented,Single,1
32,Male,PhD,55236,3256,589,26883,36,1,Bad,Unemployed,Mortgaged,Single,1
41,Male,PhD,60059,13101,496,33996,12,4,Bad,Employed,Owned,Single,1
55,Female,PhD,60023,47490,715,31065,48,4,Good,Unemployed,Mortgaged,Divorced,1
52,Female,Master,122224,30408,605,43897,48,3,Bad,Self-Employed,Owned,Divorced,1
47,Female,Bachelor,24236,31946,777,4775,36,4,Good,Unemployed,Rented,Married,1
48,Female,Master,87475,44182,835,35691,24,7,Bad,Unemployed,Owned,Married,1
66,Female,High School,56624,37944,519,43428,48,5,Average,Employed,Rented,Married,1
22,Male,Master,52818,8961,653,39901,24,3,Good,Employed,Rented,Married,1
61,Male,Master,141818,16416,534,2747,12,6,Bad,Unemployed,Mortgaged,Single,1
67,Male,Master,101462,39022,605,27819,60,9,Bad,Self-Employed,Owned,Married,1
31,Male,Master,113088,9429,409,11548,12,3,Average,Unemployed,Rented,Married,1
28,Male,PhD,50100,14783,613,26835,24,2,Average,Self-Employed,Rented,Married,0
26,Female,Bachelor,86896,25290,312,6074,36,9,Bad,Self-Employed,Owned,Single,1
51,Female,High School,125109,46685,466,30163,12,5,Average,Employed,Mortgaged,Married,1
29,Male,High School,64696,35500,352,39261,48,5,Average,Self-Employed,Mortgaged,Married,1
52,Male,High School,146682,49243,485,22443,12,7,Average,Unemployed,Mortgaged,Single,1
52,Male,Master,97530,45021,575,2412,12,2,Average,Employed,Mortgaged,Divorced,0
18,Female,High School,44941,34582,746,28748,12,5,Bad,Employed,Rented,Married,1
57,Female,PhD,113067,30285,651,31718,36,8,Average,Employed,Rented,Married,1
39,Male,Bachelor,140718,40803,309,10386,24,8,Average,Self-Employed,Rented,Divorced,0
46,Female,Master,121349,2186,709,37799,36,7,Good,Unemployed,Mortgaged,Divorced,1
25,Male,Master,79347,19609,446,35005,48,5,Average,Unemployed,Mortgaged,Married,0
28,Female,PhD,96629,10176,776,38965,24,4,Bad,Employed,Rented,Married,1
58,Female,High School,53025,26373,727,33313,48,2,Good,Self-Employed,Rented,Divorced,1
54,Male,Master,31651,32955,787,40287,24,2,Average,Unemployed,Rented,Married,1
31,Female,Master,118348,22557,829,39159,24,3,Good,Self-Employed,Owned,Married,0
47,Female,PhD,110380,29738,676,2441,12,3,Good,Employed,Rented,Divorced,0
52,Male,PhD,103254,26119,411,22944,12,7,Bad,Unemployed,Owned,Single,1
38,Female,High School,69823,17903,514,29415,36,6,Bad,Unemployed,Mortgaged,Divorced,1
54,Male,Bachelor,68122,11738,809,44925,24,1,Average,Self-Employed,Mortgaged,Divorced,1
22,Female,Bachelor,33589,6041,810,31468,48,6,Good,Self-Employed,Mortgaged,Single,1
36,Male,High School,59768,24254,325,24658,12,5,Good,Employed,Owned,Married,1
31,Male,Bachelor,84986,41527,492,42738,48,6,Good,Employed,Mortgaged,Married,1
43,Female,PhD,105558,10250,402,26461,12,8,Bad,Unemployed,Owned,Married,1
21,Female,PhD,132784,27812,504,29130,24,1,Bad,Unemployed,Rented,Single,0
42,Male,PhD,124389,26688,710,4419,48,6,Bad,Employed,Owned,Divorced,0
62,Female,Bachelor,20234,20790,350,26812,36,4,Bad,Unemployed,Mortgaged,Single,1
59,Female,Bachelor,92370,1946,430,27942,36,9,Average,Unemployed,Mortgaged,Single,1
42,Female,Master,35055,37798,642,39326,36,8,Average,Self-Employed,Mortgaged,Divorced,0
35,Male,Master,88743,9327,699,15481,12,7,Good,Unemployed,Owned,Divorced,1
57,Male,Master,140252,2136,501,45708,12,3,Average,Self-Employed,Mortgaged,Divorced,1
25,Male,Bachelor,22400,32915,599,37106,36,9,Good,Employed,Rented,Single,0
56,Female,Master,95145,26938,445,11511,48,3,Good,Employed,Mortgaged,Divorced,0
57,Female,PhD,107009,1554,761,47843,12,6,Bad,Employed,Mortgaged,Married,1
31,Male,Bachelor,130866,24421,803,16319,36,2,Bad,Self-Employed,Owned,Divorced,0
49,Male,High School,109471,14233,450,22443,12,8,Average,Employed,Mortgaged,Single,1
68,Female,Bachelor,74157,31893,615,35918,60,1,Average,Self-Employed,Owned,Divorced,1
55,Female,Master,109410,37171,498,8931,48,1,Average,Unemployed,Rented,Married,0
50,Female,Bachelor,80598,19638,728,36522,24,8,Good,Self-Employed,Mortgaged,Single,1
40,Female,Master,126044,1948,602,31529,48,9,Good,Unemployed,Rented,Divorced,0
32,Male,Master,45015,33702,797,39670,24,9,Bad,Employed,Owned,Divorced,1
50,Female,High School,139870,42063,404,24511,36,8,Average,Unemployed,Rented,Divorced,0
42,Female,High School,99720,25193,309,41959,12,8,Bad,Unemployed,Owned,Married,1
34,Male,PhD,132342,8207,326,12561,36,4,Average,Employed,Rented,Divorced,1
50,Male,Master,115079,10238,626,4892,24,8,Average,Unemployed,Mortgaged,Divorced,1
64,Female,Bachelor,86186,8419,794,32605,60,7,Bad,Unemployed,Mortgaged,Single,0
19,Male,High School,84430,21410,426,46638,24,9,Good,Self-Employed,Mortgaged,Married,0
31,Female,High School,117925,6956,415,40987,12,8,Average,Unemployed,Owned,Divorced,0
57,Female,Master,69185,15625,470,45088,60,2,Bad,Employed,Rented,Single,0
57,Male,Bachelor,112864,24753,511,10121,12,8,Average,Self-Employed,Owned,Married,0
68,Male,High School,82306,8322,488,9218,60,8,Good,Unemployed,Mortgaged,Single,1
56,Female,High School,39416,3614,789,22735,12,9,Bad,Employed,Rented,Married,1
68,Male,Bachelor,98655,49233,686,35076,24,3,Good,Self-Employed,Owned,Single,1
23,Female,High School,93180,45291,429,42670,24,8,Average,Self-Employed,Rented,Single,1
23,Female,Bachelor,70262,26539,322,8675,24,8,Good,Unemployed,Mortgaged,Divorced,1
20,Female,Master,146161,4271,478,9740,24,4,Average,Self-Employed,Rented,Single,1
24,Male,High School,94189,10029,700,21278,60,5,Average,Self-Employed,Mortgaged,Married,1
68,Female,Master,99952,6678,804,32435,48,2,Average,Employed,Mortgaged,Married,1
25,Female,Bachelor,110433,20572,710,48294,48,6,Bad,Employed,Rented,Married,1
59,Female,Master,73662,48989,831,37936,36,9,Good,Self-Employed,Owned,Divorced,1
69,Male,Master,87410,30095,628,49568,48,3,Good,Self-Employed,Rented,Divorced,1
32,Female,Master,72191,16571,770,42614,36,6,Bad,Self-Employed,Rented,Married,1
64,Female,PhD,95965,44162,719,22764,24,8,Bad,Self-Employed,Owned,Single,1
46,Female,Bachelor,32213,20718,711,11730,12,2,Good,Self-Employed,Mortgaged,Married,0
50,Male,Bachelor,68987,16866,328,48107,48,1,Average,Employed,Owned,Single,1
69,Female,Bachelor,103176,3198,544,43745,48,6,Good,Employed,Mortgaged,Single,1
47,Female,Bachelor,79783,10407,843,2739,24,3,Average,Self-Employed,Mortgaged,Single,0
56,Male,Bachelor,81353,10072,359,26127,24,2,Average,Unemployed,Rented,Single,1
44,Male,High School,121544,18138,438,44638,48,8,Good,Unemployed,Rented,Single,1
53,Female,High School,35802,6217,656,30575,24,9,Bad,Unemployed,Owned,Married,0
46,Female,High School,101658,32260,511,17312,48,7,Bad,Employed,Rented,Married,1
55,Female,Master,138951,42660,438,19015,12,9,Average,Self-Employed,Rented,Divorced,0
50,Male,Master,80646,11411,667,25573,12,7,Good,Unemployed,Mortgaged,Married,0
54,Male,Bachelor,107189,34138,785,43744,36,3,Good,Unemployed,Rented,Single,1
44,Female,PhD,63671,35500,792,14984,48,1,Bad,Unemployed,Mortgaged,Married,1
50,Male,Bachelor,109637,49282,635,4366,12,1,Good,Self-Employed,Rented,Single,1
21,Female,High School,86945,6259,477,1350,12,5,Bad,Self-Employed,Mortgaged,Divorced,1
39,Female,Bachelor,63388,30584,812,44119,60,9,Average,Employed,Rented,Married,1
19,Male,Master,54600,15116,412,26134,12,6,Good,Self-Employed,Mortgaged,Married,1
27,Female,Bachelor,103944,23783,582,46499,36,2,Good,Employed,Owned,Married,1
22,Male,High School,80690,42949,415,35412,12,6,Bad,Unemployed,Owned,Single,1
27,Male,Bachelor,25736,22155,843,7050,24,4,Average,Employed,Rented,Divorced,0
50,Female,Master,90529,33389,340,23987,60,9,Average,Employed,Owned,Single,1
55,Male,PhD,146811,34183,466,11264,48,3,Bad,Self-Employed,Owned,Married,1
30,Female,High School,63871,32048,520,26857,36,7,Average,Unemployed,Rented,Divorced,1
48,Male,Bachelor,67165,33121,612,30097,12,8,Good,Employed,Owned,Single,1
64,Female,Master,76786,28541,645,33213,48,2,Good,Unemployed,Mortgaged,Divorced,1
53,Female,High School,51247,37105,770,25479,12,7,Bad,Unemployed,Rented,Single,0
62,Female,High School,139645,22642,430,29945,60,5,Average,Self-Employed,Rented,Divorced,0
41,Male,Master,48821,41795,347,5842,48,1,Average,Unemployed,Mortgaged,Single,0
69,Female,Bachelor,23213,38825,433,9094,24,7,Good,Employed,Mortgaged,Divorced,0
32,Male,Bachelor,128659,40735,818,31670,24,8,Bad,Unemployed,Owned,Married,0
46,Male,Bachelor,49495,35388,616,36925,48,1,Bad,Unemployed,Rented,Married,1
25,Male,High School,91744,29920,737,43261,24,4,Good,Unemployed,Owned,Married,0
22,Male,PhD,29644,41761,734,33451,36,4,Good,Self-Employed,Rented,Single,1
46,Male,High School,26453,32027,385,46450,60,5,Average,Self-Employed,Rented,Divorced,1
64,Female,Bachelor,137441,31480,347,28715,36,5,Bad,Unemployed,Rented,Married,0
21,Male,High School,96629,8386,789,16245,48,4,Good,Unemployed,Owned,Single,1
29,Female,PhD,132045,38661,723,2016,36,1,Bad,Unemployed,Rented,Single,1
62,Female,High School,31263,22480,686,37424,60,9,Bad,Unemployed,Owned,Single,1
19,Male,Master,76480,38624,539,5585,60,5,Average,Employed,Rented,Divorced,1
44,Female,Bachelor,146926,4655,750,4193,48,1,Good,Unemployed,Mortgaged,Divorced,1
48,Female,Bachelor,85841,25868,557,12933,36,3,Average,Unemployed,Owned,Divorced,1
68,Male,Bachelor,119688,32129,343,26625,60,1,Good,Employed,Rented,Divorced,1
68,Female,High School,52021,17463,467,12970,48,7,Good,Unemployed,Mortgaged,Divorced,0
53,Male,High School,138055,31080,490,45408,60,7,Bad,Self-Employed,Owned,Single,1
53,Male,High School,37958,46192,575,13446,12,6,Good,Employed,Mortgaged,Single,1
43,Male,Bachelor,86408,5308,668,36059,12,9,Bad,Self-Employed,Rented,Single,1
60,Female,High School,61128,19246,605,1495,60,7,Good,Self-Employed,Rented,Married,1
44,Female,Bachelor,107498,34386,404,3356,48,5,Good,Unemployed,Owned,Divorced,1
22,Female,High School,62563,12470,720,40341,12,7,Bad,Self-Employed,Mortgaged,Single,1
37,Female,Bachelor,37414,49260,648,42352,60,4,Average,Employed,Mortgaged,Divorced,1
28,Male,Master,142452,41882,618,6679,24,9,Bad,Self-Employed,Rented,Married,0
27,Male,High School,95462,13188,719,27912,36,6,Good,Employed,Mortgaged,Married,1
57,Female,Bachelor,133795,11669,356,26140,60,4,Average,Self-Employed,Mortgaged,Single,0
55,Male,Master,75883,12443,539,27506,12,5,Good,Employed,Owned,Married,1
23,Female,Master,125209,20629,726,25244,60,8,Average,Unemployed,Mortgaged,Divorced,0
25,Male,PhD,57210,27954,439,33438,48,7,Average,Unemployed,Rented,Divorced,1
40,Male,High School,35290,8235,361,34006,12,6,Good,Self-Employed,Rented,Single,0
64,Male,Bachelor,23667,10914,451,15433,48,2,Good,Self-Employed,Mortgaged,Married,1
43,Male,PhD,147710,43849,429,18201,48,3,Average,Unemployed,Rented,Single,1
63,Male,High School,37660,29547,730,34555,48,1,Average,Unemployed,Mortgaged,Single,1
60,Female,Master,92089,49435,739,6581,60,3,Good,Employed,Mortgaged,Divorced,1
29,Female,High School,102462,12593,511,45703,12,2,Good,Unemployed,Owned,Single,0
43,Male,Bachelor,77698,41928,699,4536,48,6,Bad,Unemployed,Owned,Divorced,0
30,Female,Master,24808,28885,840,5036,24,4,Good,Employed,Mortgaged,Single,1
57,Male,PhD,114148,10291,481,29533,36,3,Bad,Unemployed,Owned,Divorced,1
35,Male,High School,60499,45978,350,43729,60,8,Good,Employed,Rented,Divorced,1
42,Male,High School,48015,5132,825,42117,24,5,Bad,Unemployed,Mortgaged,Single,1
50,Male,PhD,53351,32683,649,21087,12,4,Good,Employed,Owned,Single,1
64,Female,High School,69662,1844,357,5834,36,6,Average,Unemployed,Owned,Single,1
57,Male,High School,141364,32869,718,24808,48,4,Bad,Unemployed,Owned,Married,1
60,Female,High School,141359,32516,436,20085,24,5,Good,Self-Employed,Owned,Single,1
29,Male,Master,94674,35411,336,33181,24,4,Bad,Employed,Mortgaged,Divorced,1
61,Male,Master,125999,35031,793,9267,48,9,Bad,Unemployed,Rented,Divorced,1
53,Female,Bachelor,56241,36702,658,41759,48,2,Bad,Self-Employed,Mortgaged,Divorced,1
65,Male,High School,21198,23523,384,28582,24,1,Bad,Self-Employed,Mortgaged,Single,1
21,Male,Bachelor,112983,40942,838,35160,12,7,Good,Employed,Rented,Married,1
22,Female,Master,122299,33983,643,5981,60,9,Bad,Self-Employed,Rented,Married,1
54,Female,High School,32113,5776,470,49875,12,9,Good,Unemployed,Mortgaged,Divorced,1
25,Female,Bachelor,114285,19724,319,7220,12,4,Bad,Self-Employed,Owned,Married,1
59,Male,High School,122839,15100,602,40922,60,4,Average,Employed,Mortgaged,Married,1
66,Male,High School,58639,43467,496,4148,12,1,Good,Employed,Mortgaged,Single,1
45,Female,PhD,84036,34884,626,14185,36,1,Good,Unemployed,Mortgaged,Divorced,1
48,Female,Bachelor,105223,41518,311,32111,48,1,Good,Unemployed,Owned,Divorced,1
26,Male,Master,87983,47348,660,19625,24,6,Good,Unemployed,Rented,Married,1
68,Male,Bachelor,146164,14932,595,24036,60,6,Bad,Self-Employed,Owned,Divorced,0
46,Female,Bachelor,94944,44700,702,5727,12,5,Average,Unemployed,Owned,Single,1
31,Female,Bachelor,142427,22718,737,15258,24,2,Average,Unemployed,Mortgaged,Married,1
57,Female,PhD,125148,47014,674,6011,36,6,Average,Unemployed,Owned,Married,1
58,Female,High School,37674,20640,799,43318,12,1,Average,Employed,Owned,Single,0
39,Male,Master,32413,43108,725,28770,12,3,Good,Unemployed,Rented,Single,1
28,Male,PhD,74986,20560,343,19181,12,5,Average,Self-Employed,Owned,Single,0
40,Male,Master,67937,7380,408,40661,36,5,Average,Employed,Owned,Single,1
18,Male,PhD,93085,48756,397,27940,48,7,Average,Unemployed,Mortgaged,Married,1
63,Female,High School,43071,29829,744,45004,24,5,Good,Unemployed,Mortgaged,Divorced,1
54,Male,Master,94229,49601,380,26775,12,6,Good,Employed,Owned,Single,1
38,Female,Bachelor,63831,30579,517,20218,12,7,Bad,Employed,Rented,Divorced,1
43,Male,PhD,142116,31200,448,18946,36,2,Bad,Employed,Mortgaged,Divorced,0
63,Male,Master,102306,20729,375,15176,36,3,Average,Self-Employed,Mortgaged,Single,1
53,Male,High School,61371,29537,362,25740,24,3,Good,Unemployed,Mortgaged,Divorced,1
40,Female,Master,148345,43100,693,34732,24,1,Good,Unemployed,Owned,Divorced,1
18,Male,PhD,87542,25125,802,13337,12,9,Bad,Unemployed,Owned,Divorced,1
68,Female,High School,25213,6655,666,10776,12,9,Average,Employed,Mortgaged,Divorced,1
57,Female,Bachelor,83815,3448,777,36973,12,9,Good,Unemployed,Rented,Married,1
32,Male,PhD,71299,15185,554,14595,12,9,Bad,Unemployed,Mortgaged,Married,1
38,Female,PhD,56636,18211,358,7412,12,8,Bad,Employed,Owned,Single,1
64,Male,High School,83948,23280,819,935,36,5,Average,Unemployed,Rented,Divorced,1
26,Female,PhD,95066,34971,688,43800,48,9,Average,Self-Employed,Mortgaged,Married,0
26,Male,Master,67128,40387,725,4896,24,7,Good,Unemployed,Mortgaged,Single,1
